NCM,Excecao,Descricao,Aliquota
8482.80.00,,"- Outros, incluindo os rolamentos combinados ","7,8"
8482.9,,- Partes:,
8482.91,,"-- Esferas, roletes e agulhas",
8482.91.1,,Esferas de aço calibradas,
8482.91.11,,Para carga de canetas esferográficas ,"7,8"
8482.91.19,,Outras ,"7,8"
8482.91.20,,Roletes cilíndricos ,"7,8"
8482.91.30,,Roletes cônicos ,"7,8"
8482.91.90,,Outros ,"7,8"
8482.99,,-- Outras,
8482.99.10,,"Selos, capas e porta-esferas de aço ","7,8"
8482.99.90,,Outras ,"7,8"
84.83,,"Árvores (veios) de transmissão (incluindo as árvores de cames e virabrequins (cambotas)) e manivelas; mancais (chumaceiras) e ""bronzes""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque (binários*); volantes e polias, incluindo as polias para cadernais; embreagens e dispositivos de acoplamento, incluindo as juntas de articulação.",
8483.1,,- Árvores (veios) de transmissão (incluindo as árvores de cames e virabrequins (cambotas)) e manivelas,
8483.10.1,,Virabrequins,
8483.10.11,,"Forjados, de peso igual ou superior a 900 kg e comprimento igual ou superior a 2.000 mm ",0
8483.10.19,,Outros ,0
8483.10.19,01,"Para motores de ignição por compressão de potência igual ou superior a 125 HP, próprios
para ônibus ou caminhões","2,6"
8483.10.20,,Árvores de cames para comando de válvulas ,0
8483.10.30,,Veios flexíveis ,0
8483.10.40,,Manivelas ,0
8483.10.50,,"Árvores de transmissão providas de acoplamentos dentados com entalhes de proteção contra sobrecarga, de comprimento igual ou superior a 1500 mm e diâmetro do eixo igual ou superior a 400 mm ","7,8"
8483.10.90,,Outras ,0
8483.20.00,,- Mancais (chumaceiras) com rolamentos incorporados ,"7,8"
8483.3,,"- Mancais (chumaceiras) sem rolamentos; ""bronzes""",
8483.30.10,,"Montados com ""bronzes"" de metal antifricção ","7,8"
8483.30.2,,"""Bronzes""",
8483.30.21,,De diâmetro interno igual ou superior a 200 mm ,"7,8"
8483.30.29,,Outros ,"7,8"
8483.30.90,,Outros ,"7,8"
8483.4,,"- Engrenagens e rodas de fricção, exceto rodas dentadas simples e outros elementos de transmissão apresentados separadamente; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque (binários*)",
8483.40.10,,"Redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os
conversores de torque ",0
8483.40.90,,Outros ,0
8483.5,,"- Volantes e polias, incluindo as polias para cadernais",
8483.50.10,,"Polias, exceto as de rolamentos reguladoras de tensão ","7,8"
8483.50.90,,Outros ,"7,8"
8483.6,,"- Embreagens e dispositivos de acoplamento, incluindo as juntas de articulação",
8483.60.1,,Embreagens,
8483.60.11,,De fricção ,0
8483.60.19,,Outras ,0
8483.60.90,,Outros ,0
8483.90.00,,- Rodas dentadas e outros elementos de transmissão apresentados separadamente; partes ,0
84.84,,"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas.",
8484.10.00,,- Juntas metaloplásticas ,"7,8"
8484.20.00,,- Juntas de vedação mecânicas ,"6,5"
8484.90.00,,- Outros ,"7,8"
84.85,,Máquinas para fabricação aditiva.,
8485.10.00,,- Por depósito de metal ,0
8485.20.00,,- Por depósito de plástico ou de borracha ,0
8485.30.00,,"- Por depósito de gesso, cimento, cerâmica ou de vidro ",0
8485.80.00,,- Outras ,0
8485.90.00,,- Partes ,"3,25"
8485.90.00,01,"De máquinas para fabricação aditiva por depósito de matérias, exceto de plástico, de borracha ou de vidro",0
84.86,,"Máquinas e aparelhos do tipo utilizado exclusiva ou principalmente na fabricação de boules ou wafers de material semicondutor, dispositivos semicondutores, circuitos integrados eletrônicos ou de dispositivos de visualização de tela (ecrã*) plana; máquinas e aparelhos especificados na Nota 11 C) do presente Capítulo; partes e acessórios.",
8486.10.00,,- Máquinas e aparelhos para fabricação de boules ou wafers ,0
8486.20.00,,- Máquinas e aparelhos para fabricação de dispositivos semicondutores ou de circuitos integrados eletrônicos ,0
8486.30.00,,- Máquinas e aparelhos para fabricação de dispositivos de visualização de tela (ecrã*) plana ,0
8486.40.00,,- Máquinas e aparelhos especificados na Nota 11 C) do presente Capítulo ,0
8486.90.00,,- Partes e acessórios ,0
84.87,,"Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétricas.",
8487.10.00,,- Hélices para embarcações e suas pás ,"6,5"
8487.90.00,,- Outras ,"6,5"
85.01,,"Motores e geradores, elétricos, exceto os grupos eletrogêneos.",
8501.1,,"- Motores de potência não superior a 37,5 W",
8501.10.1,,De corrente contínua,
8501.10.11,,"De passo não superior a 1,8° ","3,25"
8501.10.11,01,Próprios para utilização em brinquedos,"6,5"
8501.10.19,,Outros ,"6,5"
8501.10.2,,De corrente alternada,
8501.10.21,,Síncronos ,"6,5"
8501.10.29,,Outros ,10
8501.10.30,,Universais ,"6,5"
8501.20.00,,"- Motores universais de potência superior a 37,5 W ","6,5"
8501.3,,"- Outros motores de corrente contínua; geradores de corrente contínua, exceto os geradores
fotovoltaicos:",
8501.31,,-- De potência não superior a 750 W,
8501.31.10,,Motores ,"6,5"
8501.31.20,,Geradores ,0
8501.32,,"-- De potência superior a 750 W, mas não superior a 75 kW",
8501.32.10,,Motores ,0
8501.32.20,,Geradores ,0
8501.33,,"-- De potência superior a 75 kW, mas não superior a 375 kW",
8501.33.10,,Motores ,0
8501.33.20,,Geradores ,0
8501.34,,-- De potência superior a 375 kW,
8501.34.1,,Motores,
8501.34.11,,De potência não superior a 3.000 kW ,0
8501.34.19,,Outros ,0
8501.34.20,,Geradores ,0
8501.4,,"- Outros motores de corrente alternada, monofásicos",
8501.40.1,,De potência não superior a 15 kW,
8501.40.11,,Síncronos ,0
8501.40.19,,Outros ,"6,5"
8501.40.2,,De potência superior a 15 kW,
8501.40.21,,Síncronos ,0
8501.40.29,,Outros ,"6,5"
8501.5,,"- Outros motores de corrente alternada, polifásicos:",
8501.51,,-- De potência não superior a 750 W,
8501.51.10,,"Trifásicos, com rotor de gaiola ","3,25"
8501.51.10,01,"De alto rendimento, segundo norma NBR 17094",0
8501.51.20,,"Trifásicos, com rotor de anéis ",0
8501.51.90,,Outros ,0
8501.52,,"-- De potência superior a 750 W, mas não superior a 75 kW",
8501.52.10,,"Trifásicos, com rotor de gaiola ",0
8501.52.20,,"Trifásicos, com rotor de anéis ",0
8501.52.90,,Outros ,0
8501.53,,-- De potência superior a 75 kW,
8501.53.10,,"Trifásicos, de potência não superior a 7.500 kW ",0
8501.53.20,,"Trifásicos, de potência superior a 7.500 kW, mas não superior a 30.000 kW ",0
8501.53.30,,"Trifásicos, de potência superior a 30.000 kW, mas não superior a 50.000 kW ",0
8501.53.90,,Outros ,0
8501.6,,"- Geradores de corrente alternada (alternadores), exceto os geradores fotovoltaicos:",
8501.61.00,,-- De potência não superior a 75 kVA ,0
8501.62.00,,"-- De potência superior a 75 kVA, mas não superior a 375 kVA ",0
8501.63.00,,"-- De potência superior a 375 kVA, mas não superior a 750 kVA ",0
8501.64.00,,-- De potência superior a 750 kVA ,0
8501.7,,- Geradores fotovoltaicos de corrente contínua:,
8501.71.00,,-- De potência não superior a 50 W ,0
8501.72,,-- De potência superior a 50 W,
8501.72.10,,De potência não superior a 75 kW ,0
8501.72.90,,Outros ,0
8501.80.00,,- Geradores fotovoltaicos de corrente alternada ,0
85.02,,Grupos eletrogêneos e conversores rotativos elétricos.,
8502.1,,"- Grupos eletrogêneos de motor de pistão, de ignição por compressão (motores diesel ou semidiesel):",
8502.11,,-- De potência não superior a 75 kVA,
8502.11.10,,De corrente alternada ,0
8502.11.90,,Outros ,0
8502.12,,"-- De potência superior a 75 kVA, mas não superior a 375 kVA",
8502.12.10,,De corrente alternada ,0
8502.12.90,,Outros ,0
8502.13,,-- De potência superior a 375 kVA,
8502.13.1,,De corrente alternada,
8502.13.11,,De potência não superior a 430 kVA ,0
8502.13.19,,Outros ,0
8502.13.90,,Outros ,0
8502.2,,"- Grupos eletrogêneos de motor de pistão, de ignição por centelha (faísca) (motor de explosão)",
8502.20.1,,De corrente alternada,
8502.20.11,,De potência não superior a 210 kVA ,0
8502.20.19,,Outros ,0
8502.20.90,,Outros ,0
8502.3,,- Outros grupos eletrogêneos:,
8502.31.00,,-- De energia eólica ,0
8502.39.00,,-- Outros ,0
8502.4,,- Conversores rotativos elétricos,
8502.40.10,,De frequência ,0
8502.40.90,,Outros ,0
8503,,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas das posições 85.01 ou 85.02.,
8503.00.10,,"De motores ou geradores das subposições 8501.10, 8501.20, 8501.31, 8501.32 ou do item 8501.40.1 ","6,5"
8503.00.90,,Outras ,"6,5"
8503.00.90,01,"Partes utilizadas exclusiva ou principalmente em aerogeradores classificados no código
8502.31.00",0
85.04,,"Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.",
8504.10.00,,- Reatores (Balastros*) para lâmpadas ou tubos de descarga ,"3,25"
8504.2,,- Transformadores de dielétrico líquido:,
8504.21.00,,-- De potência não superior a 650 kVA ,0
8504.22.00,,"-- De potência superior a 650 kVA, mas não superior a 10.000 kVA ",0
8504.23.00,,-- De potência superior a 10.000 kVA ,0
8504.3,,- Outros transformadores:,
8504.31,,-- De potência não superior a 1 kVA,
8504.31.1,,Para frequências inferiores ou iguais a 60 Hz,
8504.31.11,,Transformadores de corrente ,"6,5"
8504.31.19,,Outros ,"6,5"
8504.31.9,,Outros,
8504.31.91,,"Transformador de saída horizontal (fly back), com tensão de saída superior a 18 kV e frequência de varredura horizontal igual ou superior a 32 kHz ","3,25"
8504.31.92,,"Transformadores de FI, de detecção, de relação, de linearidade ou de foco ",13
8504.31.93,,"Outros, de largura e comprimento não superior a 50 mm e altura não superior a 25 mm, próprios para montagem por inserção (PTH -Pin Through Hole) ou montagem em superfície (SMD -Surface Mounted Device)","6,5"
8504.31.99,,Outros ,"6,5"
8504.31.99,01,"Transformadores de deflexão (yokes), para tubos de raios catódicos",13
8504.32,,"-- De potência superior a 1 kVA, mas não superior a 16 kVA",
8504.32.1,,De potência não superior a 3 kVA,
8504.32.11,,Para frequências inferiores ou iguais a 60 Hz ,0
8504.32.19,,Outros ,0
8504.32.2,,De potência superior a 3 kVA,
8504.32.21,,Para frequências inferiores ou iguais a 60 Hz ,0
8504.32.29,,Outros ,0
8504.33.00,,"-- De potência superior a 16 kVA, mas não superior a 500 kVA ",0
8504.34.00,,-- De potência superior a 500 kVA ,0
8504.4,,- Conversores estáticos,
8504.40.10,,Carregadores de acumuladores ,5
8504.40.2,,"Retificadores, exceto carregadores de acumuladores",
8504.40.21,,De cristal (semicondutores) ,"3,75"
,01,Para unidades digitais de processamento de pequena capacidade,5
8504.40.22,,Eletrolíticos ,"3,25"
8504.40.29,,Outros ,5
8504.40.30,,Conversores de corrente contínua ,15
8504.40.40,,Equipamento de alimentação ininterrupta de energia (UPS ou no break) ,"9,75"
8504.40.50,,"Conversores eletrônicos de frequência, para variação de velocidade de motores elétricos ","9,75"
8504.40.60,,Aparelhos eletrônicos de alimentação de energia do tipo utilizado para iluminação de emergência ,"9,75"
8504.40.90,,Outros ,"9,75"
8504.50,,- Outras bobinas de reatância e de autoindução ,
8504.50.10,,"De largura e comprimento não superior a 45 mm e altura não superior a 30 mm, próprias para montagem por inserção (PTH -Pin Through Hole) ou montagem em superfície (SMD -Surface Mounted Device)",0
8504.50.90,,Outras,0
8504.9,,- Partes,
8504.90.10,,Núcleos de pó ferromagnético ,"6,5"
8504.90.20,,De reatores para lâmpadas ou tubos de descarga ,"6,5"
8504.90.30,,"De transformadores das subposições 8504.21, 8504.22, 8504.23, 8504.33 ou 8504.34 ","6,5"
8504.90.40,,"De conversores estáticos, exceto de carregadores de acumuladores e de retificadores ","6,5"
8504.90.90,,Outras ,"6,5"
85.05,,"Eletroímãs; ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização; placas, mandris e dispositivos semelhantes, magnéticos ou eletromagnéticos, de fixação; acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos; cabeças de elevação eletromagnéticas.",
8505.1,,- Ímãs permanentes e artigos destinados a tornarem-se ímãs permanentes após magnetização:,
8505.11.00,,-- De metal ,"9,75"
8505.19,,-- Outros,
8505.19.10,,De ferrita (cerâmicos) ,"9,75"
8505.19.90,,Outros ,"9,75"
8505.2,,"- Acoplamentos, embreagens, variadores de velocidade e freios (travões), eletromagnéticos",
8505.20.10,,"Freios (travões) que atuam por corrente de Foucault, do tipo utilizado nos veículos das posições 87.01
a 87.05 ","3,25"
8505.20.90,,Outros ,"3,25"
8505.20.90,01,Embreagem eletromagnética para colheitadeiras,"2,6"
8505.9,,"- Outros, incluindo as partes",
8505.90.1,,Eletroímãs,
8505.90.11,,Do tipo utilizado em aparelhos de diagnóstico de imagem por ressonância magnética,"3,25"
8505.90.19,,Outros ,"3,25"
8505.90.80,,Outros ,"9,75"
8505.90.90,,Partes ,"9,75"
85.06,,"Pilhas e baterias de pilhas, elétricas.",
8506.1,,- De dióxido de manganês,
8506.10.1,,Pilhas alcalinas,
8506.10.11,,"De tensão igual a 1,5 V, cilíndricas, do tipo LR14 (C) ","9,75"
8506.10.12,,"De tensão igual a 1,5 V, cilíndricas, do tipo LR20 (D) ","9,75"
8506.10.19,,Outras ,"9,75"
8506.10.20,,Outras pilhas ,"9,75"
8506.10.3,,Baterias de pilhas,
8506.10.31,,"Alcalinas, de tensão igual a 9 V ","9,75"
8506.10.32,,"Alcalinas, de tensão igual a 12 V ","9,75"
8506.10.39,,Outras ,"9,75"
8506.3,,- De óxido de mercúrio,
8506.30.10,,Com volume exterior não superior a 300 cm3 ,"9,75"
8506.30.90,,Outras ,"9,75"
8506.4,,- De óxido de prata,
8506.40.10,,Com volume exterior não superior a 300 cm3 ,"9,75"
8506.40.90,,Outras ,"9,75"
8506.5,,- De lítio,
8506.50.10,,Com volume exterior não superior a 300 cm3 ,"9,75"
8506.50.90,,Outras ,"9,75"
8506.6,,- De ar-zinco,
8506.60.10,,Com volume exterior não superior a 300 cm3 ,"9,75"
8506.60.90,,Outras ,"9,75"
8506.8,,- Outras pilhas e baterias de pilhas,
8506.80.10,,Com volume exterior não superior a 300 cm3 ,"9,75"
8506.80.90,,Outras ,"9,75"
8506.90.00,,- Partes ,"9,75"
85.07,,"Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.",
8507.1,,"- De chumbo, do tipo utilizado para o arranque dos motores de pistão",
8507.10.10,,De capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V ,"9,75"
8507.10.90,,Outros ,"9,75"
8507.10.90,01,"Do tipo utilizado para o arranque dos motores de ignição por compressão, com intensidade
de corrente igual ou superior a 90 Ah","2,6"
8507.2,,- Outros acumuladores de chumbo,
8507.20.10,,De peso inferior ou igual a 1.000 kg ,"9,75"
8507.20.90,,Outros ,"9,75"
8507.3,,- De níquel-cádmio,
8507.30.1,,De peso inferior ou igual a 2.500 kg,
8507.30.11,,De capacidade inferior ou igual a 15 Ah ,"9,75"
8507.30.19,,Outros ,"9,75"
8507.30.90,,Outros ,"9,75"
8507.5,,- De níquel-hidreto metálico,
8507.50.10,,"De tensão igual a 1,2 V, cilíndricos do tipo HR6 (AA) ","9,75"
8507.50.20,,"De tensão igual a 1,2 V, cilíndricos do tipo HR03 (AAA) ","9,75"
8507.50.90,,Outros ,"9,75"
8507.60.00,,- De íon de lítio ,"11,25"
,01,Para telefones inteligentes (smartphones),15
8507.80.00,,- Outros acumuladores ,"9,75"
8507.9,,- Partes,
8507.90.10,,Separadores ,"9,75"
8507.90.20,,"Recipientes de plástico, suas tampas e tampões ","9,75"
8507.90.90,,Outras ,15
85.08,,Aspiradores.,
8508.1,,- Com motor elétrico incorporado:,
8508.11.00,,-- De potência não superior a 1.500 W e cujo volume do reservatório não exceda 20 l ,"6,5"
8508.19.00,,-- Outros ,"6,5"
8508.60.00,,- Outros aspiradores ,"6,5"
8508.70.00,,- Partes ,"6,5"
85.09,,"Aparelhos eletromecânicos com motor elétrico incorporado, de uso doméstico, exceto os aspiradores da posição 85.08.",
8509.4,,- Trituradores (moedores) e misturadores de alimentos; espremedores de fruta ou de produtos hortícolas,
8509.40.10,,Liquidificadores ,"6,5"
8509.40.20,,Batedeiras ,"6,5"
8509.40.30,,Moedores de carne ,"6,5"
8509.40.40,,Extratores centrífugos de sucos ,"6,5"
8509.40.50,,"Aparelhos de funções múltiplas, providos de acessórios intercambiáveis, para processar alimentos ","6,5"
8509.40.90,,Outros ,"6,5"
8509.8,,- Outros aparelhos,
8509.80.10,,Enceradeiras de pisos ,"6,5"
8509.80.90,,Outros ,"6,5"
8509.90.00,,- Partes ,10
85.1,,"Aparelhos ou máquinas de barbear, máquinas de cortar o cabelo ou de tosquiar e aparelhos de depilar, com motor elétrico incorporado.",
8510.10.00,,- Aparelhos ou máquinas de barbear ,13
8510.20.00,,- Máquinas de cortar o cabelo ou de tosquiar ,13
8510.30.00,,- Aparelhos de depilar ,"6,5"
8510.9,,- Partes,
8510.90.1,,De aparelhos ou máquinas de barbear,
8510.90.11,,Lâminas ,13
8510.90.19,,Outras ,13
8510.90.20,,Pentes e contrapentes para máquinas de tosquiar ,13
8510.90.90,,Outras ,13
85.11,,"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha (faísca) ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (por exemplo, dínamos e alternadores) e conjuntores-disjuntores utilizados com estes motores.",
8511.10.00,,- Velas de ignição ,"9,75"
8511.2,,- Magnetos; dínamos-magnetos; volantes magnéticos,
8511.20.10,,Magnetos ,"9,75"
8511.20.90,,Outros ,"9,75"
8511.3,,- Distribuidores; bobinas de ignição,
8511.30.10,,Distribuidores ,"9,75"
8511.30.20,,Bobinas de ignição ,"9,75"
8511.40.00,,"- Motores de arranque, mesmo funcionando como geradores ","9,75"
8511.40.00,01,"Para sistema elétrico em 24 V, com potência igual ou superior a 3 kW","2,6"
8511.5,,- Outros geradores,
8511.50.10,,Dínamos e alternadores ,"9,75"
8511.50.10,01,"Para sistema elétrico em 24 V, exceto para uso em aeronáutica","2,6"
8511.50.90,,Outros ,15
8511.8,,- Outros aparelhos e dispositivos,
8511.80.10,,Velas de aquecimento ,"9,75"
8511.80.20,,Reguladores de voltagem (conjuntores-disjuntores) ,"9,75"
8511.80.30,,Ignição eletrônica digital ,"9,75"
8511.80.90,,Outros ,"9,75"
8511.90.00,,- Partes ,"9,75"
85.12,,"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 85.39), limpadores de para brisas, degeladores e desembaçadores elétricos, do tipo utilizado em ciclos ou automóveis.",
8512.10.00,,- Aparelhos de iluminação ou de sinalização visual do tipo utilizado em bicicletas ,"9,75"
8512.2,,- Outros aparelhos de iluminação ou de sinalização visual,
8512.20.1,,Aparelhos de iluminação,
8512.20.11,,Faróis ,"9,75"
8512.20.11,01,Para colheitadeiras ou tratores agrícolas,"2,6"
8512.20.19,,Outros ,"9,75"
8512.20.2,,Aparelhos de sinalização visual,
8512.20.21,,Luzes fixas ,"9,75"
8512.20.21,01,Lanternas para tratores agrícolas,"2,6"
8512.20.22,,Luzes indicadoras de manobras ,"9,75"
8512.20.23,,Caixas de luzes combinadas ,"9,75"
8512.20.29,,Outros ,"9,75"
8512.30.00,,- Aparelhos de sinalização acústica ,"9,75"
8512.4,,"- Limpadores de para-brisas, degeladores e desembaçadores",
8512.40.10,,Limpadores de para-brisas ,"9,75"
8512.40.20,,Degeladores e desembaçadores ,"9,75"
8512.90.00,,- Partes ,"9,75"
85.13,,"Lanternas elétricas portáteis concebidas para funcionar por meio de sua própria fonte de energia (por exemplo, de pilhas, de acumuladores, de magnetos), excluindo os aparelhos de iluminação da posição 85.12.",
8513.1,,- Lanternas,
8513.10.10,,Manuais ,"9,75"
8513.10.90,,Outras ,"9,75"
8513.90.00,,- Partes ,"9,75"
85.14,,"Fornos elétricos industriais ou de laboratório, incluindo os que funcionam por indução ou por perdas dielétricas; outros aparelhos industriais ou de laboratório para tratamento térmico de matérias por indução ou por perdas dielétricas.",
8514.1,,- Fornos de resistência (de aquecimento indireto):,
8514.11.00,,-- Prensas isostáticas a quente ,"3,25"
8514.11.00,01,Industriais,0
8514.19.00,,-- Outros ,"3,25"
8514.19.00,01,Industriais,0
8514.2,,- Fornos que funcionam por indução ou por perdas dielétricas,
8514.20.1,,Por indução,
8514.20.11,,Industriais ,0
8514.20.19,,Outros ,"3,25"
8514.20.20,,Por perdas dielétricas ,"3,25"
8514.20.20,01,Industriais,0
8514.3,,- Outros fornos:,
8514.31.00,,-- Fornos de feixe de elétrons ,0
8514.32.00,,-- Fornos de plasma e fornos de arco a vácuo ,"3,25"
8514.32.00,01,"Fornos de arco a vácuo, industriais",0
8514.32.00,02,Fornos de plasma,0
8514.39.00,,-- Outros ,0
8514.39.00,01,"Fornos de resistência (de aquecimento direto), exceto industriais","3,25"
8514.40.00,,- Outros aparelhos para tratamento térmico de matérias por indução ou por perdas dielétricas ,0
8514.90.00,,- Partes ,"3,25"
85.15,,"Máquinas e aparelhos para soldar (mesmo de corte) elétricos (incluindo os a gás aquecido eletricamente), a laser ou outros feixes de luz ou de fótons, a ultrassom, a feixes de elétrons, a impulsos magnéticos ou a jato de plasma; máquinas e aparelhos elétricos para projeção a quente de metais ou de cermets.",
8515.1,,- Máquinas e aparelhos para soldadura forte ou fraca:,
8515.11.00,,-- Ferros e pistolas ,"3,25"
8515.19.00,,-- Outros ,0
8515.2,,- Máquinas e aparelhos para soldar metais por resistência:,
8515.21.00,,-- Inteira ou parcialmente automáticos ,0
8515.29.00,,-- Outros ,0
8515.3,,- Máquinas e aparelhos para soldar metais por arco ou jato de plasma:,
8515.31,,-- Inteira ou parcialmente automáticos,
8515.31.10,,"Robôs para soldar, por arco, em atmosfera inerte (MIG - Metal Inert Gas) ou atmosfera ativa (MAG -
Metal Active Gas), de comando numérico ",0
8515.31.90,,Outros ,0
8515.39.00,,-- Outros ,0
8515.8,,- Outras máquinas e aparelhos,
8515.80.10,,Para soldar a laser ,0
8515.80.90,,Outros ,0
8515.90.00,,- Partes ,0
85.16,,"Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimento de ambientes, do solo ou para usos semelhantes; aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45.",
8516.10.00,,"- Aquecedores elétricos de água, incluindo os de imersão ",13
8516.10.00,01,Chuveiro elétrico,0
8516.2,,"- Aparelhos elétricos para aquecimento de ambientes, do solo ou para usos semelhantes:",
8516.21.00,,-- Radiadores de acumulação ,13
8516.29.00,,-- Outros ,13
8516.3,,- Aparelhos eletrotérmicos para arranjos do cabelo ou para secar as mãos:,
8516.31.00,,-- Secadores de cabelo ,20
8516.32.00,,-- Outros aparelhos para arranjos do cabelo ,20
8516.33.00,,-- Aparelhos para secar as mãos ,13
8516.40.00,,- Ferros elétricos de passar ,"6,5"
8516.50.00,,- Fornos de micro-ondas ,35
8516.60.00,,"- Outros fornos; fogões de cozinha, fogareiros (incluindo as chapas de cocção), grelhas e assadeiras ","7,8"
8516.60.00,01,Fogões de cozinha,"3,25"
8516.7,,- Outros aparelhos eletrotérmicos:,
8516.71.00,,-- Aparelhos para preparação de café ou de chá ,"7,8"
8516.72.00,,-- Torradeiras de pão ,"7,8"
8516.79,,-- Outros,
8516.79.10,,Panelas ,"7,8"
8516.79.20,,Fritadoras ,"7,8"
8516.79.90,,Outros ,"9,75"
8516.8,,- Resistências de aquecimento,
8516.80.10,,Para aparelhos da presente posição ,"6,5"
8516.80.90,,Outras ,"6,5"
8516.90.00,,- Partes ,10
8516.90.00,01,De fogões de cozinha,5
85.17,,"Aparelhos telefônicos, incluindo os telefones inteligentes (smartphones) e outros telefones para redes celulares ou para outras redes sem fio; outros aparelhos para a transmissão ou recepção de voz, imagens ou outros dados, incluindo os aparelhos para comunicação em redes por fio ou redes sem fio (tal como uma rede local (LAN) ou uma rede de área estendida (longa distância) (WAN)), exceto os aparelhos das posições 84.43, 85.25, 85.27 ou 85.28.",
8517.1,,"- Aparelhos telefônicos, incluindo os telefones inteligentes (smartphones) e outros telefones para redes celulares ou para outras redes sem fio:",
8517.11.00,,-- Aparelhos telefônicos por fio com unidade auscultador-microfone sem fio ,"6,5"
8517.13.00,,-- Telefones inteligentes (smartphones) ,15
8517.14,,-- Outros telefones para redes celulares ou para outras redes sem fio,
8517.14.10,,"De radiotelefonia, analógicos ","9,75"
8517.14.3,,"De redes celulares, exceto por satélite",
8517.14.31,,Portáteis ,"11,25"
8517.14.32,,"Fixos, sem fonte própria de energia ","9,75"
8517.14.39,,Outros ,"9,75"
8517.14.4,,De telecomunicações por satélite,
8517.14.41,,"Digitais, operando em banda C, Ku, L ou S ","9,75"
8517.14.49,,Outros ,"9,75"
8517.14.90,,Outros ,"9,75"
8517.18,,-- Outros,
8517.18.30,,Não combinados com outros aparelhos ,"6,5"
8517.18.90,,Outros ,"6,5"
8517.18.90,01,Telefones públicos,"9,75"
8517.6,,"- Outros aparelhos para a transmissão ou recepção de voz, imagens ou outros dados, incluindo os aparelhos para comunicação em redes por fio ou redes sem fio (tal como uma rede local (LAN) ou uma rede de área estendida (longa distância) (WAN)):",
8517.61,,-- Estações-base,
8517.61.30,,De telefonia celular ,15
8517.61.4,,De telecomunicação por satélite,
8517.61.41,,"Principal terrena fixa, sem conjunto antena-refletor ","9,75"
8517.61.42,,"VSAT (Very Small Aperture Terminal), sem conjunto antena-refletor ","9,75"
8517.61.43,,"Digitais, operando em banda C, Ku, L ou S ","9,75"
8517.61.49,,Outras ,"9,75"
8517.61.9,,Outras,
8517.61.91,,"Digitais, de frequência igual ou superior a 15 GHz e inferior ou igual a 23 GHz e taxa de transmissão inferior ou igual a 8 Mbit/s ","9,75"
8517.61.92,,"Digitais, de frequência superior a 23 GHz ","9,75"
8517.61.99,,Outras ,"9,75"
8517.62,,"-- Aparelhos para recepção, conversão, transmissão ou regeneração de voz, imagens ou outros dados, incluindo os aparelhos de comutação e roteamento",
8517.62.1,,Concentradores de linhas de assinantes (terminais de central ou terminal remoto) e multiplexadores,
8517.62.14,,Concentradores de linhas de assinantes (terminais de central ou terminal remoto) ,"9,75"
8517.62.15,,Multiplexadores ,"9,75"
8517.62.15,01,"Moduladores OFDM (Orthogonal Frequency Division Multiplex), com sintaxe MPEG-TS
(MPEG-Transport Stream), para sistemas de televisão digital terrestre",0
8517.62.15,02,"Multiplexadores de sinais de áudio, vídeo e dados para sistemas de televisão digital terrestre, com entrada ASI e saída TS (Transport Stream)",0
8517.62.2,,Aparelhos para comutação de linhas telefônicas,
8517.62.21,,"Centrais automáticas públicas, incluindo as de trânsito ","9,75"
8517.62.29,,Outros ,"9,75"
8517.62.3,,Outros aparelhos para comutação,
8517.62.34,,Aparelhos para comutação de pacotes de dados (switches) ,"9,75"
8517.62.39,,Outros ,"9,75"
8517.62.4,,"Roteadores digitais, em redes mesmo com fio",
8517.62.41,,Com capacidade de conexão sem fio ,15
8517.62.49,,Outros ,"9,75"
8517.62.5,,"Outros aparelhos para recepção, transmissão ou regeneração de voz, imagens ou outros dados em rede com fio",
8517.62.51,,Terminais ou repetidores sobre linhas metálicas ,"9,75"
